poz;designation;name;qty;weight
1;350x200x10;Плита опорная;1;5,45
2;70x10x8;Платик;4;0,04
3;ШВ12x80;Швеллер;2;0,74
4;106x42x6;Ребро;1;0,19
5;140x83x6;Пластина;2;0,54
6;150x75x5;Пластина;2;0,44
7;45x16x5;Ребро;6;0,04
8;150x77x6;Подушка;1;0,54
9;190x80x4;Прокладка (изол);1;0,12
10;150x26x6;Пластина;1;0,18
11;106x42x6;Ребро;1;0,19
12;d26,8x2,8x87;Патрубок;1;0,14
13;d16x350;Шпилька;1;0,55
14;40x8x8;Упор;1;0,02
15;;Болт М8х80 ГОСТ 7798-70;2;0,037
16;;Гайка М8 ГОСТ 5915-70;2;0,006
17;32x32x2;Шайба стопорная;1;0,009
18;;Гайка М16.58 ГОСТ 5915-70;3;0,038

